name,file,line_start,scc_id,scc_kind,translated
ksprintf,htslib/kstring.c,177,,,FALSE
fai_build3_core,htslib/faidx.c,460,,,FALSE
fai_build3,htslib/faidx.c,557,,,FALSE
fai_build,htslib/faidx.c,562,,,FALSE
hread_uint64,htslib/bgzf.c,2465,,,FALSE
bgzf_index_load_hfile,htslib/bgzf.c,2472,,,FALSE
bgzf_index_load,htslib/bgzf.c,2506,,,FALSE
hisremote,htslib/hfile.c,1345,,,FALSE
bgzf_open_ref,htslib/cram/cram_io.c,2503,,,FALSE
refs_create,htslib/cram/cram_io.c,2467,,,FALSE
isspace_c,htslib/textutils_internal.h,176,,,FALSE
hgetdelim,htslib/hfile.c,241,,,FALSE
hgetln,htslib/htslib/hfile.h,195,,,FALSE
hgets,htslib/hfile.c,291,,,FALSE
refs_load_fai,htslib/cram/cram_io.c,2541,,,FALSE
sanitise_SQ_lines,htslib/cram/cram_io.c,2693,,,FALSE
refs2id,htslib/cram/cram_io.c,2737,,,FALSE
expand_cache_path,htslib/cram/cram_io.c,2884,,,FALSE
is_directory,htslib/cram/cram_io.c,2873,,,FALSE
mkdir_prefix,htslib/cram/cram_io.c,2947,2,self,FALSE
mfdetach,htslib/cram/mFILE.c,389,,,FALSE
mfsteal,htslib/cram/mFILE.c,428,,,FALSE
tokenise_search_path,htslib/cram/open_trace_file.c,108,,,FALSE
mfcreate,htslib/cram/mFILE.c,207,,,FALSE
mrewind,htslib/cram/mFILE.c,475,,,FALSE
mfwrite,htslib/cram/mFILE.c,527,,,FALSE
expand_path,htslib/cram/open_trace_file.c,230,,,FALSE
find_file_url,htslib/cram/open_trace_file.c,182,,,FALSE
mfload,htslib/cram/mFILE.c,75,,,FALSE
mfmmap,htslib/cram/mFILE.c,127,,,FALSE
mfreopen,htslib/cram/mFILE.c,264,,,FALSE
mfopen,htslib/cram/mFILE.c,347,,,FALSE
is_file,htslib/cram/open_trace_file.c,90,,,FALSE
find_file_dir,htslib/cram/open_trace_file.c,314,,,FALSE
open_path_mfile,htslib/cram/open_trace_file.c,352,,,FALSE
find_path,htslib/cram/open_trace_file.c,433,,,FALSE
body,htslib/md5.c,119,,,FALSE
hts_md5_update,htslib/md5.c,237,,,FALSE
hts_md5_final,htslib/md5.c,271,,,FALSE
hts_md5_reset,htslib/md5.c,226,,,FALSE
hts_md5_reset,htslib/md5.c,355,,,FALSE
hts_md5_init,htslib/md5.c,323,,,FALSE
hts_md5_init,htslib/md5.c,344,,,FALSE
hts_md5_update,htslib/md5.c,360,,,FALSE
hts_md5_final,htslib/md5.c,365,,,FALSE
hts_md5_destroy,htslib/md5.c,372,,,FALSE
hts_md5_hex,htslib/md5.c,380,,,FALSE
ks_clear,htslib/htslib/kstring.h,215,,,FALSE
hts_open_tmpfile,htslib/hts.c,1979,,,FALSE
cram_populate_ref,htslib/cram/cram_io.c,2977,,,FALSE
cram_ref_incr_locked,htslib/cram/cram_io.c,3169,,,FALSE
toupper_c,htslib/textutils_internal.h,180,,,FALSE
bgzf_read,htslib/bgzf.c,1241,,,FALSE
bgzf_seek_common,htslib/bgzf.c,2175,,,FALSE
bgzf_useek,htslib/bgzf.c,2544,,,FALSE
load_ref_portion,htslib/cram/cram_io.c,3228,,,FALSE
cram_ref_load,htslib/cram/cram_io.c,3323,,,FALSE
cram_get_ref,htslib/cram/cram_io.c,3409,,,FALSE
cram_codec_to_id,htslib/cram/cram_codecs.c,3968,3,self,FALSE
cram_dependent_data_series,htslib/cram/cram_decode.c,553,,,FALSE
cram_ds_unique,htslib/cram/cram_decode.c,876,,,FALSE
cram_get_block_by_id,htslib/cram/cram_io.h,183,,,FALSE
cram_decode_estimate_sizes,htslib/cram/cram_decode.c,912,,,FALSE
add_md_char,htslib/cram/cram_decode.c,1080,,,FALSE
cram_decode_seq,htslib/cram/cram_decode.c,1096,,,FALSE
map_find,htslib/cram/cram_decode.c,1926,,,FALSE
cram_decode_aux_1_0,htslib/cram/cram_decode.c,1939,,,FALSE
sam_hdr_line_name,htslib/header.c,2235,,,FALSE
aux_ele_size,htslib/cram/cram_decode.c,1989,,,FALSE
cram_decode_aux,htslib/cram/cram_decode.c,2008,,,FALSE
cram_decode_slice_xref,htslib/cram/cram_decode.c,2140,,,FALSE
md5_print,htslib/cram/cram_decode.c,2305,,,FALSE
cram_decode_tlen,htslib/cram/cram_decode.c,2322,,,FALSE
ks_initialize,htslib/htslib/kstring.h,157,,,FALSE
ks_free,htslib/htslib/kstring.h,234,,,FALSE
cram_decode_slice,htslib/cram/cram_decode.c,2346,,,FALSE
lazy_flush,htslib/bgzf.c,1927,,,FALSE
lazy_flush,htslib/bgzf.c,1942,,,FALSE
bgzf_write,htslib/bgzf.c,2002,,,FALSE
cram_index_build_multiref,htslib/cram/cram_index.c,632,,,FALSE
cram_index_slice,htslib/cram/cram_index.c,695,,,FALSE
cram_flush_container2,htslib/cram/cram_io.c,4087,,,FALSE
hts_tpool_next_result,htslib/thread_pool.c,200,,,FALSE
cram_flush_result,htslib/cram/cram_io.c,4166,,,FALSE
sub_idx,htslib/cram/cram_encode.c,70,,,FALSE
itf8_put_blk,htslib/cram/cram_io.c,620,,,FALSE
cram_new_block,htslib/cram/cram_io.c,1388,,,FALSE
cram_encode_compression_header,htslib/cram/cram_encode.c,83,,,FALSE
cram_encode_slice_header,htslib/cram/cram_encode.c,511,,,FALSE
cram_encode_slice_read,htslib/cram/cram_encode.c,572,,,FALSE
libdeflate_deflate,htslib/cram/cram_io.c,1113,,,FALSE
zlib_mem_deflate,htslib/cram/cram_io.c,1222,,,FALSE
lzma_mem_deflate,htslib/cram/cram_io.c,1295,,,FALSE
cram_compress_by_method,htslib/cram/cram_io.c,1756,,,FALSE
cram_block_method2str,htslib/cram/cram_io.c,2341,,,FALSE
cram_compress_block3,htslib/cram/cram_io.c,1912,4,self,FALSE
cram_compress_block2,htslib/cram/cram_io.c,2316,,,FALSE
cram_compress_slice,htslib/cram/cram_encode.c,803,,,FALSE
cram_allocate_block,htslib/cram/cram_encode.c,1005,5,self,FALSE
cram_encode_slice,htslib/cram/cram_encode.c,1096,,,FALSE
bam_data_end,htslib/cram/cram_encode.c,1246,,,FALSE
le_to_u16,htslib/htslib/hts_endian.h,129,,,FALSE
le_to_i16,htslib/htslib/hts_endian.h,240,,,FALSE
le_to_i32,htslib/htslib/hts_endian.h,251,,,FALSE
bam_aux2i_end,htslib/cram/cram_encode.c,1253,,,FALSE
aux_type2size,htslib/sam.c,737,,,FALSE
skip_aux,htslib/sam.c,4793,,,FALSE
bam_aux_first,htslib/sam.c,4819,,,FALSE
bam_aux_next,htslib/sam.c,4827,,,FALSE
bam_aux_get,htslib/sam.c,4842,,,FALSE
expected_template_count,htslib/cram/cram_encode.c,1301,,,FALSE
lossy_read_names,htslib/cram/cram_encode.c,1340,,,FALSE
cram_stats_add,htslib/cram/cram_stats.c,52,,,FALSE
add_read_names,htslib/cram/cram_encode.c,1433,,,FALSE
extend_ref,htslib/cram/cram_encode.c,1504,,,FALSE
next_cigar_op,htslib/cram/cram_encode.c,1476,,,FALSE
hts_str2uint,htslib/textutils_internal.h,297,,,FALSE
bam_cigar2rlen,htslib/sam.c,663,,,FALSE
cram_add_to_ref_MD,htslib/cram/cram_encode.c,1553,,,FALSE
cram_add_to_ref,htslib/cram/cram_encode.c,1659,,,FALSE
cram_generate_reference,htslib/cram/cram_encode.c,1733,,,FALSE
validate_md5,htslib/cram/cram_encode.c,1794,,,FALSE
sam_hrecs_find_rg,htslib/header.c,3068,,,FALSE
cram_add_feature,htslib/cram/cram_encode.c,2574,,,FALSE
cram_add_substitution,htslib/cram/cram_encode.c,2601,,,FALSE
cram_add_bases,htslib/cram/cram_encode.c,2628,,,FALSE
cram_add_base,htslib/cram/cram_encode.c,2641,,,FALSE
cram_add_quality,htslib/cram/cram_encode.c,2658,,,FALSE
cram_add_deletion,htslib/cram/cram_encode.c,2673,,,FALSE
cram_add_softclip,htslib/cram/cram_encode.c,2683,,,FALSE
cram_add_hardclip,htslib/cram/cram_encode.c,2719,,,FALSE
cram_add_skip,htslib/cram/cram_encode.c,2729,,,FALSE
cram_add_pad,htslib/cram/cram_encode.c,2739,,,FALSE
cram_add_insertion,htslib/cram/cram_encode.c,2749,,,FALSE
cram_new_metrics,htslib/cram/cram_io.c,2327,,,FALSE
cram_encoding2str,htslib/cram/cram_codecs.c,3811,,,FALSE
cram_encoder_init,htslib/cram/cram_codecs.c,3928,,,FALSE
cram_stats_dump,htslib/cram/cram_stats.c,105,,,FALSE
cram_stats_encoding,htslib/cram/cram_stats.c,134,,,FALSE
cram_encode_aux,htslib/cram/cram_encode.c,2784,,,FALSE
cram_stats_del,htslib/cram/cram_stats.c,80,,,FALSE
nibble2base_default,htslib/sam_internal.h,72,,,FALSE
nibble2base,htslib/sam_internal.h,111,,,FALSE
kputc_,htslib/htslib/kstring.h,268,,,FALSE
kputuw,htslib/htslib/kstring.h,286,,,FALSE
process_one_read,htslib/cram/cram_encode.c,3385,,,FALSE
cram_ref_incr,htslib/cram/cram_io.c,3183,,,FALSE
cram_encode_container,htslib/cram/cram_encode.c,1846,,,FALSE
cram_flush_container,htslib/cram/cram_io.c,4141,,,FALSE
reset_metrics,htslib/cram/cram_io.c,4236,,,FALSE
hts_tpool_dispatch2,htslib/thread_pool.c,841,,,FALSE
cram_flush_container_mt,htslib/cram/cram_io.c,4273,,,FALSE
cram_free_file_def,htslib/cram/cram_io.c,4698,,,FALSE
cram_index_free_recurse,htslib/cram/cram_index.c,363,6,self,FALSE
cram_index_free,htslib/cram/cram_index.c,373,,,FALSE
hts_tpool_process_empty,htslib/thread_pool.c,258,,,FALSE
cram_drain_rqueue,htslib/cram/cram_decode.c,3632,,,FALSE
sam_hdr_destroy,htslib/sam.c,117,,,FALSE
cram_write_eof_block,htslib/cram/cram_io.c,5472,7,mutual,FALSE
cram_close,htslib/cram/cram_io.c,5556,7,mutual,FALSE
cram_eof,htslib/cram/cram_io.c,5662,,,FALSE
hts_filter_free,htslib/hts_expr.c,863,,,FALSE
hts_idx_destroy,htslib/hts.c,2687,,,FALSE
idx_write_uint64,htslib/hts.c,2733,,,FALSE
need_idx_ugly_delay_hack,htslib/hts.c,2748,,,FALSE
hts_idx_close_otf_fp,htslib/hts.c,2910,,,FALSE
sam_free_sp_bams,htslib/sam.c,3076,,,FALSE
bam_hdr_destroy,htslib/htslib/sam.h,401,,,FALSE
hts_tpool_process_shutdown,htslib/thread_pool.c,327,,,FALSE
hts_tpool_dispatch,htslib/thread_pool.c,829,,,FALSE
sam_state_destroy,htslib/sam.c,3092,,,FALSE
fastq_state_destroy,htslib/sam.c,3802,,,FALSE
hts_close,htslib/hts.c,1639,,,FALSE
hts_close_or_abort,htslib/test/fuzz/hts_open_fuzzer.c,40,,,FALSE
sam_hdr_count_lines,htslib/header.c,2142,,,FALSE
refs_from_header,htslib/cram/cram_io.c,2768,,,FALSE
cram_read_file_def,htslib/cram/cram_io.c,4660,,,FALSE
redact_header_text,htslib/header.c,1530,,,FALSE
sam_hdr_add_lines,htslib/header.c,1657,,,FALSE
int32_decode,htslib/cram/cram_io.c,1005,,,FALSE
int32_get_blk,htslib/cram/cram_io.c,1029,,,FALSE
hgetc2,htslib/hfile.c,235,,,FALSE
hgetc,htslib/htslib/hfile.h,163,,,FALSE
cram_read_block,htslib/cram/cram_io.c,1414,,,FALSE
cram_read_container,htslib/cram/cram_io.c,3786,,,FALSE
sam_hdr_init,htslib/sam.c,108,,,FALSE
cram_read_SAM_hdr,htslib/cram/cram_io.c,4715,,,FALSE
cram_init_varint,htslib/cram/cram_io.c,5127,,,FALSE
cram_init_tables,htslib/cram/cram_io.c,5170,,,FALSE
cram_dopen,htslib/cram/cram_io.c,5287,,,FALSE
cram_load_reference,htslib/cram/cram_io.c,3597,,,FALSE
cram_seek,htslib/cram/cram_io.c,5429,,,FALSE
cram_index_query,htslib/cram/cram_index.c,404,,,FALSE
