name,file,line_start,scc_id,scc_kind,translated
cram_seek_to_refpos,htslib/cram/cram_index.c,572,,,FALSE
cram_set_voption,htslib/cram/cram_io.c,5692,,,FALSE
cram_set_option,htslib/cram/cram_io.c,5674,,,FALSE
free_part,htslib/multipart.c,53,,,TRUE
free_all_parts,htslib/multipart.c,66,,,TRUE
dehex,htslib/textutils.c,37,,,TRUE
encode_utf8,htslib/textutils.c,103,,,TRUE
fscan_string,htslib/textutils.c,164,,,TRUE
token_type,htslib/textutils.c,202,,,TRUE
hts_json_fnext,htslib/textutils.c,292,,,TRUE
skip_value,htslib/textutils.c,338,,,TRUE
hts_json_fskip_value,htslib/textutils.c,402,,,TRUE
ks_release,htslib/htslib/kstring.h,225,,,TRUE
parse_ga4gh_body_json,htslib/multipart.c,149,,,TRUE
parse_ga4gh_redirect_json,htslib/multipart.c,220,,,TRUE
hopen_htsget_redirect,htslib/multipart.c,241,,,FALSE
bgzf_hopen,htslib/bgzf.c,539,,,TRUE
format_category,htslib/hts.c,269,,,TRUE
find_file_extension,htslib/hts_internal.h,140,,,TRUE
decompress_peek_gz,htslib/hts.c,313,,,TRUE
decompress_peek_xz,htslib/hts.c,356,,,TRUE
isdigit_c,htslib/textutils_internal.h,171,,,TRUE
parse_version,htslib/hts.c,388,,,TRUE
cmp_nonblank,htslib/hts.c,414,,,TRUE
is_text_only,htslib/hts.c,428,,,TRUE
is_fastaq,htslib/hts.c,458,,,TRUE
parse_tabbed_text,htslib/hts.c,483,,,TRUE
colmatch,htslib/hts.c,540,,,TRUE
hts_detect_format2,htslib/hts.c,556,,,TRUE
cram_hfile,htslib/cram/cram_io.h,646,,,TRUE
bgzf_hfile,htslib/bgzf.c,2619,,,TRUE
hts_hfile,htslib/hts.c,1774,,,TRUE
hts_get_bgzfp,htslib/hts.c,2008,,,TRUE
sam_state_create,htslib/sam.c,3048,,,TRUE
sam_set_thread_pool,htslib/sam.c,3719,,,TRUE
sam_set_threads,htslib/sam.c,3746,,,TRUE
bgzf_set_cache_size,htslib/bgzf.c,2126,,,TRUE
hts_set_cache_size,htslib/hts.c,1945,,,TRUE
hts_filter_init,htslib/hts_expr.c,849,,,TRUE
hts_set_filter_expression,htslib/hts.c,1967,,,TRUE
fastq_state_init,htslib/sam.c,3786,,,TRUE
fastq_state_set,htslib/sam.c,3815,,,TRUE
hts_set_opt,htslib/hts.c,1791,8,mutual,FALSE
hts_set_threads,htslib/hts.c,1922,8,mutual,TRUE
hts_set_thread_pool,htslib/hts.c,1934,8,mutual,TRUE
hts_opt_apply,htslib/hts.c,1247,,,TRUE
hts_opt_free,htslib/hts.c,1279,,,TRUE
hts_opt_add,htslib/hts.c,1021,,,TRUE
hts_parse_opt_list,htslib/hts.c,1300,,,TRUE
hts_process_opts,htslib/hts.c,1413,,,TRUE
hts_crypt4gh_redirect,htslib/hts.c,1430,,,TRUE
hts_hopen,htslib/hts.c,1463,,,TRUE
hts_set_fai_filename,htslib/hts.c,1951,,,TRUE
bam_init1,htslib/sam.c,431,,,TRUE
bam_get_mempolicy,htslib/htslib/sam.h,966,,,TRUE
bam_destroy1,htslib/sam.c,469,,,TRUE
sam_hdr_incr_ref,htslib/header.c,2717,,,TRUE
build_header_line,htslib/header.c,743,,,FALSE
sam_hrecs_rebuild_lines,htslib/header.c,758,,,FALSE
sam_hrecs_rebuild_text,htslib/header.c,2376,,,FALSE
sam_hdr_dup_sdict,htslib/sam.c,144,,,TRUE
